prvdr_id,msr_cd,scr,sample,footnote
010001,ED_1b,252,158,2
010001,ED_2b,64,158,2
010005,ED_1b,240,350,
010005,ED_2b,65,305,
010006,ED_1b,232,102,
010006,ED_2b,48,76,
010007,ED_1b,192,94,2
010007,ED_2b,50,91,2
010008,ED_1b,199,76,2
010008,ED_2b,58,76,2
010011,ED_1b,238,100,2
010011,ED_2b,72,94,2
010012,ED_1b,210,141,2
010012,ED_2b,80,140,2
010016,ED_1b,253,183,
010016,ED_2b,75,112,
010018,ED_1b,Too few cases,Too few cases,1
010018,ED_2b,Too few cases,Too few cases,1
010019,ED_1b,236,128,2
010019,ED_2b,74,126,2
010021,ED_1b,168,101,2
010021,ED_2b,54,100,2
010022,ED_1b,229,121,2
010022,ED_2b,77,121,2
010023,ED_1b,515,171,
010023,ED_2b,336,154,
010024,ED_1b,326,200,2
010024,ED_2b,161,197,2
010025,ED_1b,251,75,2
010025,ED_2b,80,71,2
010027,ED_1b,185,27,
010027,ED_2b,70,27,
010029,ED_1b,239,456,2
010029,ED_2b,52,454,2
010032,ED_1b,210,81,2
010032,ED_2b,Not Available,0,2
010033,ED_1b,380,101,2
010033,ED_2b,325,101,2
010034,ED_1b,228,174,2
010034,ED_2b,70,115,2
010035,ED_1b,235,234,2
010035,ED_2b,82,234,2
010036,ED_1b,215,91,2
010036,ED_2b,65,91,2
010038,ED_1b,217,163,2
010038,ED_2b,85,163,2
010039,ED_1b,370,151,2
010039,ED_2b,122,149,2
010040,ED_1b,336,170,2
010040,ED_2b,123,161,2
010043,ED_1b,191,130,2
010043,ED_2b,60,103,2
010044,ED_1b,157,121,2
010044,ED_2b,40,98,2
010045,ED_1b,214,98,
010045,ED_2b,80,68,
010046,ED_1b,319,201,2
010046,ED_2b,120,201,2
010047,ED_1b,130,113,2
010047,ED_2b,45,113,2
010049,ED_1b,224,160,2
010049,ED_2b,63,159,2
010050,ED_1b,230,121,2
010050,ED_2b,60,114,2
010051,ED_1b,178,97,2
010051,ED_2b,1,97,2
010052,ED_1b,198,140,2
010052,ED_2b,56,118,2
010054,ED_1b,243,99,2
010054,ED_2b,74,98,2
010055,ED_1b,267,140,2
010055,ED_2b,110,138,2
010056,ED_1b,285,97,2
010056,ED_2b,95,42,2
010058,ED_1b,150,24,1
010058,ED_2b,50,15,1
010059,ED_1b,224,86,
010059,ED_2b,49,79,
010061,ED_1b,320,67,2
010061,ED_2b,104,58,2
010062,ED_1b,160,102,2
010062,ED_2b,55,83,2
010065,ED_1b,255,102,
010065,ED_2b,99,102,
010066,ED_1b,135,34,
010066,ED_2b,0,34,
010069,ED_1b,186,172,2
010069,ED_2b,48,172,2
010073,ED_1b,202,22,1
010073,ED_2b,60,19,1
010078,ED_1b,188,144,2
010078,ED_2b,56,144,2
010079,ED_1b,290,145,
010079,ED_2b,72,135,
010083,ED_1b,333,199,2
010083,ED_2b,110,199,2
010085,ED_1b,272,121,2
010085,ED_2b,65,94,2
010086,ED_1b,228,72,2
010086,ED_2b,35,61,2
010087,ED_1b,506,229,2
010087,ED_2b,180,229,2
010089,ED_1b,275,158,
010089,ED_2b,110,155,
010090,ED_1b,280,109,2
010090,ED_2b,100,87,2
010091,ED_1b,186,84,2
010091,ED_2b,58,24,1
010092,ED_1b,255,154,
010092,ED_2b,80,130,
010095,ED_1b,197,70,2
010095,ED_2b,30,70,2
010097,ED_1b,186,140,
010097,ED_2b,45,115,
010099,ED_1b,175,90,
010099,ED_2b,55,85,
010100,ED_1b,343,147,
010100,ED_2b,131,147,
010101,ED_1b,233,117,
010101,ED_2b,66,114,
010102,ED_1b,138,33,
010102,ED_2b,Not Available,0,
010103,ED_1b,271,188,
010103,ED_2b,111,170,
010104,ED_1b,189,119,2
010104,ED_2b,69,119,2
010108,ED_1b,340,131,
010108,ED_2b,159,130,
010109,ED_1b,198,48,2
010109,ED_2b,64,42,2
010110,ED_1b,Not Available,Not Available,5
010110,ED_2b,Not Available,Not Available,5
010112,ED_1b,188,159,2
010112,ED_2b,33,159,2
010113,ED_1b,337,199,
010113,ED_2b,126,197,
010114,ED_1b,196,213,
010114,ED_2b,40,211,
010118,ED_1b,270,163,2
010118,ED_2b,78,162,2
010120,ED_1b,223,57,
010120,ED_2b,55,57,
010125,ED_1b,208,70,2
