prvdr_id,msr_cd,scr,sample,footnote
010001,IMM_2,85,271,2
010001,IMM_1a,90,187,2
010005,IMM_2,66,550,
010005,IMM_1a,79,327,
010006,IMM_2,92,271,
010006,IMM_1a,93,166,
010007,IMM_2,82,62,2
010007,IMM_1a,89,55,2
010008,IMM_2,83,82,2
010008,IMM_1a,77,57,2
010011,IMM_2,92,266,2
010011,IMM_1a,94,181,2
010012,IMM_2,95,230,2
010012,IMM_1a,98,138,2
010016,IMM_2,86,285,
010016,IMM_1a,90,188,
010018,IMM_2,65,20,1
010018,IMM_1a,31,16,1
010019,IMM_2,98,253,2
010019,IMM_1a,98,157,2
010021,IMM_2,87,149,2
010021,IMM_1a,91,101,2
010022,IMM_2,95,159,2
010022,IMM_1a,95,125,2
010023,IMM_2,89,343,
010023,IMM_1a,90,187,
010024,IMM_2,95,288,2
010024,IMM_1a,94,209,2
010025,IMM_2,90,145,2
010025,IMM_1a,96,91,2
010027,IMM_2,97,37,2
010027,IMM_1a,97,30,2
010029,IMM_2,63,1076,2
010029,IMM_1a,70,655,2
010032,IMM_2,36,179,
010032,IMM_1a,43,127,
010033,IMM_2,87,287,2
010033,IMM_1a,91,133,2
010034,IMM_2,81,169,2
010034,IMM_1a,84,133,2
010035,IMM_2,100,300,2
010035,IMM_1a,99,234,2
010036,IMM_2,94,183,2
010036,IMM_1a,97,109,2
010038,IMM_2,97,216,2
010038,IMM_1a,99,152,2
010039,IMM_2,96,301,2
010039,IMM_1a,93,155,2
010040,IMM_2,98,285,2
010040,IMM_1a,99,168,2
010043,IMM_2,90,155,2
010043,IMM_1a,91,119,2
010044,IMM_2,93,164,2
010044,IMM_1a,96,126,2
010045,IMM_2,97,152,
010045,IMM_1a,91,129,
010046,IMM_2,99,290,2
010046,IMM_1a,100,233,2
010047,IMM_2,95,166,
010047,IMM_1a,95,105,
010049,IMM_2,97,260,2
010049,IMM_1a,96,142,2
010050,IMM_2,93,148,2
010050,IMM_1a,94,119,2
010051,IMM_2,5,116,2
010051,IMM_1a,8,91,2
010052,IMM_2,40,149,2
010052,IMM_1a,31,109,2
010054,IMM_2,98,168,2
010054,IMM_1a,95,100,2
010055,IMM_2,100,315,2
010055,IMM_1a,99,187,2
010056,IMM_2,79,255,2
010056,IMM_1a,88,155,2
010058,IMM_2,82,22,1
010058,IMM_1a,95,19,1
010059,IMM_2,93,154,
010059,IMM_1a,96,109,
010061,IMM_2,98,199,2
010061,IMM_1a,97,141,2
010062,IMM_2,72,169,2
010062,IMM_1a,65,128,2
010065,IMM_2,77,182,
010065,IMM_1a,88,105,
010066,IMM_2,48,48,
010066,IMM_1a,46,37,
010069,IMM_2,93,168,2
010069,IMM_1a,92,155,2
010073,IMM_2,93,151,2
010073,IMM_1a,97,61,2
010078,IMM_2,96,277,2
010078,IMM_1a,96,160,2
010079,IMM_2,90,219,
010079,IMM_1a,96,135,
010083,IMM_2,100,287,2
010083,IMM_1a,100,197,2
010085,IMM_2,68,283,
010085,IMM_1a,85,172,
010086,IMM_2,95,149,2
010086,IMM_1a,94,119,2
010087,IMM_2,87,294,2
010087,IMM_1a,83,121,2
010089,IMM_2,100,275,
010089,IMM_1a,99,187,
010090,IMM_2,97,278,2
010090,IMM_1a,97,172,2
010091,IMM_2,70,159,2
010091,IMM_1a,87,99,2
010092,IMM_2,56,294,
010092,IMM_1a,63,172,
010095,IMM_2,46,78,
010095,IMM_1a,36,39,
010097,IMM_2,48,147,
010097,IMM_1a,55,100,
